Number,created_on,resolved_at,Assignment group,mttr_minutes,sla_met,sla_status,sla_threshold_minutes
INC48274104,2025-06-26 14:34:23,2025-06-26 14:35:57,AEDT - Enterprise Tech Spot - San Bruno,1.5666666666666667,True,SLA Met,3
INC48274045,2025-06-26 14:30:56,2025-06-26 14:33:53,AEDT - Enterprise Tech Spot - Sunnyvale,2.95,True,SLA Met,3
INC48273819,2025-06-26 14:16:53,2025-06-26 14:17:37,AEDT - Enterprise Tech Spot - Homeoffice,0.7333333333333333,True,SLA Met,3
INC48273578,2025-06-26 14:04:12,2025-06-26 14:07:10,AEDT - Enterprise Tech Spot - Seattle,2.966666666666667,True,SLA Met,3
INC48273489,2025-06-26 13:59:36,2025-06-26 14:01:52,AEDT - Enterprise Tech Spot - Seattle,2.2666666666666666,True,SLA Met,3
INC48273435,2025-06-26 13:56:48,2025-06-26 13:57:53,AEDT - Enterprise Tech Spot - San Bruno,1.0833333333333333,True,SLA Met,3
INC48273390,2025-06-26 13:53:48,2025-06-26 13:54:41,AEDT - Enterprise Tech Spot - Homeoffice,0.8833333333333333,True,SLA Met,3
INC48273257,2025-06-26 13:46:04,2025-06-26 13:49:55,AEDT - Enterprise Tech Spot - Herndon,3.85,False,SLA Breach,3
INC48273238,2025-06-26 13:45:03,2025-06-26 13:45:54,AEDT - Enterprise Tech Spot - San Bruno,0.85,True,SLA Met,3
INC48273224,2025-06-26 13:44:14,2025-06-26 13:48:00,AEDT - Enterprise Tech Spot - San Bruno,3.7666666666666666,False,SLA Breach,3
INC48273129,2025-06-26 13:39:21,2025-06-26 13:40:38,AEDT - Enterprise Tech Spot - San Bruno,1.2833333333333334,True,SLA Met,3
INC48273049,2025-06-26 13:34:25,2025-06-26 13:38:47,AEDT - Enterprise Tech Spot - Hula,4.366666666666666,False,SLA Breach,3
INC48273014,2025-06-26 13:32:11,2025-06-26 13:40:08,AEDT - Enterprise Tech Spot - Homeoffice,7.95,False,SLA Breach,3
INC48272904,2025-06-26 13:26:39,2025-06-26 13:28:07,AEDT - Enterprise Tech Spot - San Bruno,1.4666666666666666,True,SLA Met,3
INC48272901,2025-06-26 13:26:30,2025-06-26 13:28:06,AEDT - Enterprise Tech Spot - DGTC,1.6,True,SLA Met,3
INC48272601,2025-06-26 13:09:00,2025-06-26 13:24:46,AEDT - Enterprise Tech Spot - DGTC,15.766666666666667,False,SLA Breach,3
INC48272507,2025-06-26 13:02:49,2025-06-26 13:04:44,AEDT - Enterprise Tech Spot - Homeoffice,1.9166666666666667,True,SLA Met,3
INC48272289,2025-06-26 12:50:12,2025-06-26 12:56:38,AEDT - Enterprise Tech Spot - Sunnyvale,6.433333333333334,False,SLA Breach,3
INC48272080,2025-06-26 12:37:06,2025-06-26 12:42:58,AEDT - Enterprise Tech Spot - Seattle,5.866666666666666,False,SLA Breach,3
INC48272032,2025-06-26 12:35:25,2025-06-26 12:40:26,AEDT - Enterprise Tech Spot - Hula,5.016666666666667,False,SLA Breach,3
INC48271897,2025-06-26 12:26:59,2025-06-26 12:33:00,AEDT - Enterprise Tech Spot - Sunnyvale,6.016666666666667,False,SLA Breach,3
INC48271708,2025-06-26 12:17:45,2025-06-26 12:18:52,AEDT - Enterprise Tech Spot - Sunnyvale,1.1166666666666667,True,SLA Met,3
INC48271591,2025-06-26 12:10:30,2025-06-26 12:12:56,AEDT - Enterprise Tech Spot - Hula,2.433333333333333,True,SLA Met,3
INC48271421,2025-06-26 12:01:43,2025-06-26 12:09:24,AEDT - Enterprise Tech Spot - Sunnyvale,7.683333333333334,False,SLA Breach,3
INC48271351,2025-06-26 11:58:31,2025-06-26 12:02:01,AEDT - Enterprise Tech Spot - San Bruno,3.5,False,SLA Breach,3
INC48271244,2025-06-26 11:52:45,2025-06-26 11:54:59,AEDT - Enterprise Tech Spot - San Bruno,2.2333333333333334,True,SLA Met,3
INC48271216,2025-06-26 11:51:11,2025-06-26 11:53:34,AEDT - Enterprise Tech Spot - DGTC,2.3833333333333333,True,SLA Met,3
INC48271154,2025-06-26 11:48:36,2025-06-26 11:48:51,AEDT - Enterprise Tech Spot - Herndon,0.25,True,SLA Met,3
INC48269922,2025-06-26 10:46:09,2025-06-26 10:47:04,AEDT - Enterprise Tech Spot - Homeoffice,0.9166666666666666,True,SLA Met,3
INC48269725,2025-06-26 10:35:52,2025-06-26 10:37:08,AEDT - Enterprise Tech Spot - Homeoffice,1.2666666666666666,True,SLA Met,3
INC48269364,2025-06-26 10:17:39,2025-06-26 10:24:29,AEDT - Enterprise Tech Spot - Hoboken,6.833333333333333,False,SLA Breach,3
INC48268905,2025-06-26 09:55:01,2025-06-26 09:55:26,AEDT - Enterprise Tech Spot - Homeoffice,0.4166666666666667,True,SLA Met,3
INC48268557,2025-06-26 09:38:22,2025-06-26 09:46:25,AEDT - Enterprise Tech Spot - Sunnyvale,8.05,False,SLA Breach,3
INC48268517,2025-06-26 09:36:42,2025-06-26 09:37:11,AEDT - Enterprise Tech Spot - Homeoffice,0.48333333333333334,True,SLA Met,3
INC48268223,2025-06-26 09:23:03,2025-06-26 10:29:25,AEDT - Enterprise Tech Spot - Seattle,66.36666666666666,False,SLA Breach,3
INC48268121,2025-06-26 09:17:46,2025-06-26 09:29:27,AEDT - Enterprise Tech Spot - Homeoffice,11.683333333333334,False,SLA Breach,3
INC48267936,2025-06-26 09:09:47,2025-06-26 09:10:53,AEDT - Enterprise Tech Spot - Homeoffice,1.1,True,SLA Met,3
INC48267903,2025-06-26 09:08:12,2025-06-26 09:11:56,AEDT - Enterprise Tech Spot - Sunnyvale,3.7333333333333334,False,SLA Breach,3
INC48267674,2025-06-26 08:58:04,2025-06-26 08:58:29,AEDT - Enterprise Tech Spot - Homeoffice,0.4166666666666667,True,SLA Met,3
INC48267648,2025-06-26 08:57:23,2025-06-26 09:24:02,AEDT - Enterprise Tech Spot - Hula,26.65,False,SLA Breach,3
INC48267481,2025-06-26 08:50:07,2025-06-26 08:54:11,AEDT - Enterprise Tech Spot - DGTC,4.066666666666666,False,SLA Breach,3
INC48267399,2025-06-26 08:45:50,2025-06-26 08:47:08,AEDT - Enterprise Tech Spot - Homeoffice,1.3,True,SLA Met,3
INC48267335,2025-06-26 08:43:19,2025-06-26 08:47:16,AEDT - Enterprise Tech Spot - DGTC,3.95,False,SLA Breach,3
INC48267150,2025-06-26 08:33:07,2025-06-26 08:33:37,AEDT - Enterprise Tech Spot - Jst,0.5,True,SLA Met,3
INC48267072,2025-06-26 08:29:56,2025-06-26 08:30:43,AEDT - Enterprise Tech Spot - Homeoffice,0.7833333333333333,True,SLA Met,3
INC48266604,2025-06-26 08:06:23,2025-06-26 08:25:48,AEDT - Enterprise Tech Spot - DGTC,19.416666666666668,False,SLA Breach,3
INC48266536,2025-06-26 08:02:58,2025-06-26 08:06:36,AEDT - Enterprise Tech Spot - Jst,3.6333333333333333,False,SLA Breach,3
INC48266293,2025-06-26 07:50:39,2025-06-26 07:51:12,AEDT - Enterprise Tech Spot - Homeoffice,0.55,True,SLA Met,3
INC48266277,2025-06-26 07:49:52,2025-06-26 07:59:23,AEDT - Enterprise Tech Spot - DGTC,9.516666666666667,False,SLA Breach,3
